text,court,group,circuit_admin,county_admin,district_admin,chief_judge,county
Hon. Mary Ellen Barbera,Appeals,Court Of Appeals,0,0,0,1,NA
"Hon. Clayton Greene, Jr.",Appeals,Court Of Appeals,0,0,0,0,NA
Hon. Robert N. McDonald,Appeals,Court Of Appeals,0,0,0,0,NA
Hon. Shirley Marie Watts,Appeals,Court Of Appeals,0,0,0,0,NA
Hon. Michele D. Hotten,Appeals,Court Of Appeals,0,0,0,0,NA
Hon. Joseph M. Getty,Appeals,Court Of Appeals,0,0,0,0,NA
Hon. Matthew J. Fader,Appeals,Court Of Special Appeals,0,0,0,1,NA
Hon. Timothy E. Meredith,Appeals,Court Of Special Appeals,0,0,0,0,NA
"Hon. Alexander Wright, Jr.",Appeals,Court Of Special Appeals,0,0,0,0,NA
Hon. Kathryn Grill Graeff,Appeals,Court Of Special Appeals,0,0,0,0,NA
Hon. Christopher B. Kehoe,Appeals,Court Of Special Appeals,0,0,0,0,NA
Hon. Stuart R. Berger,Appeals,Court Of Special Appeals,0,0,0,0,NA
Hon. Douglas R. M. Nazarian,Appeals,Court Of Special Appeals,0,0,0,0,NA
Hon. Michael W. Reed,Appeals,Court Of Special Appeals,0,0,0,0,NA
Hon. Andrea M. Leahy,Appeals,Court Of Special Appeals,0,0,0,0,NA
Hon. Kevin F. Arthur,Appeals,Court Of Special Appeals,0,0,0,0,NA
Hon. Daniel A. Friedman,Appeals,Court Of Special Appeals,0,0,0,0,NA
Hon. Melanie M. Shaw Geter,Appeals,Court Of Special Appeals,0,0,0,0,NA
Hon. Donald E. Beachley,Appeals,Court Of Special Appeals,0,0,0,0,NA
Hon. Kathleen Leonard Beckstead ,Circuit,First Judicial Circuit,0,0,0,1,Wicomico
Hon. Brett W. Wilson ,Circuit,First Judicial Circuit,1,1,0,0,Dorchester
Hon. Brian D. Shockley ,Circuit,First Judicial Circuit,0,1,0,0,Worcester
Hon. Leah J. Seaton ,Circuit,First Judicial Circuit,0,0,0,0,Wicomico
Hon. Spyros J. Sarbanes ,Circuit,First Judicial Circuit,0,1,0,0,Wicomico
Hon. Matthew A. Maciarello ,Circuit,First Judicial Circuit,0,0,0,0,Wicomico
Hon. Daniel W. Powell ,Circuit,First Judicial Circuit,0,1,0,0,Somerset
Hon. Mary Margaret  Worcester,Circuit,First Judicial Circuit,0,0,0,0,Kent
Hon. Beau Hendrick Oglesby ,Circuit,First Judicial Circuit,0,0,0,0,Worcester
Hon. Thomas G. Ross ,Circuit,Second Judicial Circuit,0,1,0,1,Queen Anne's
Hon. Keith A. Baynes ,Circuit,Second Judicial Circuit,1,1,0,0,Cecil
Hon. Jane C. Murray ,Circuit,Second Judicial Circuit,0,0,0,0,Cecil
Hon. Brenda A. Sexton ,Circuit,Second Judicial Circuit,0,0,0,0,Cecil
Hon. Stephen H. Kehoe ,Circuit,Second Judicial Circuit,0,1,0,0,Talbot
Hon. Jonathan G. Newell ,Circuit,Second Judicial Circuit,0,1,0,0,Caroline
"Hon. William W. Davis, Jr. ",Circuit,Second Judicial Circuit,0,0,0,0,Cecil
